Year,No. For-Profit Inst.
1975-76,55
1976-77,
1977-78,
1978-79,96
1979-80,
1980-81,165
1981-82,
1982-83,
1983-84,
1984-85,214
1985-86,
1986-87,238
1987-88,323
1988-89,325
1989-90,316
1990-91,343
1991-92,341
1992-93,342
1993-94,320
1994-95,345
1995-96,345
1996-97,614
1997-98,650
1998-99,672
1999-2000,721
2000-01,789
2001-02,808
2002-03,791
2003-04,852
2004-05,879
2005-06,936
2006-07,986
2007-08,1043
2008 - 2009,1104
2009 - 2010,1199
2010 - 2011,1313
2011 - 2012,1404
2012 - 2013,1451
2013 - 2014,1424
2014 - 2015,1334
2015 - 2016,1262
2016 - 2017,1055
2017 - 2018,998
2018 - 2019,742
2019 - 2020,697
2020 - 2021,704
,
"CAGR Peak, 37-Yrs",9.2%%
CAGR From Peak,-8.6%
,1451